CodigoCL,TIPO_SENAL,FASE,ACCION,n
CL19658,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL19675,SP-46,INVENTARIO,INVENTARIO,1
CL1971,SP-46B,IMPLEMENTACION,INSTALACION,1
CL19725,SP-46,INVENTARIO,INVENTARIO,1
CL19745,SP-46,IMPLEMENTACION,INSTALACION,1
CL19759,SP-46,IMPLEMENTACION,INSTALACION,1
CL19762,SP-46,PROGRAMACION,RETIRAR,1
CL19782,SP-46,INVENTARIO,INVENTARIO,1
CL19782,SP-46,PROGRAMACION,RETIRAR,1
CL20026,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL20063,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL20077,SP-46,IMPLEMENTACION,INSTALACION,1
CL20077,SP-46,INVENTARIO,INVENTARIO,1
CL20091,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL20104,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL20143,SP-46,PROGRAMACION,REEMPLAZAR,1
CL20143,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL20194,SP-46,PROGRAMACION,REEMPLAZAR,1
CL20194,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL20281,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL20323,SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL20328,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL2035,SP-46A,IMPLEMENTACION,INSTALACION,1
CL2035,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,2
CL2035,SP-46B,IMPLEMENTACION,INSTALACION,4
CL20618,SP-46,IMPLEMENTACION,REUBICAR,1
CL2064,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL2064,SP-46B,IMPLEMENTACION,INSTALACION,2
CL2065,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL20784,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL20935,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL20970,SI-24/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL20970,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL20970,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL20995,SP-46,IMPLEMENTACION,INSTALACION,1
CL21113,SI-24/SR-30,PROGRAMACION,RETIRAR,1
CL21128,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL21163,SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL21163,SP-46B,IMPLEMENTACION,INSTALACION,1
CL21170,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
